※ED1.精灵ED之一,"Map258.json,events,2,pages,0,list,4,parameters,0"
检查『○』即可完成。,"Map258.json,events,67,pages,0,list,55,parameters,0"
关于2F的攻略,"Map258.json,events,67,pages,0,list,58,parameters,1"
从正太状态（变身第一阶段）到巨乳状态（变身第三阶段）,"Map258.json,events,67,pages,0,list,61,parameters,0"
需要使用『水压球』。,"Map258.json,events,67,pages,0,list,62,parameters,0"
只需检查这里即可完成。,"Map258.json,events,67,pages,0,list,64,parameters,0"
去西边的房间破坏岩石并逃脱。,"Map258.json,events,67,pages,0,list,65,parameters,0"
男性状态、鳞片状态、人鱼状态不需要获得任何物品,"Map258.json,events,67,pages,0,list,66,parameters,0"
即可逃脱。,"Map258.json,events,67,pages,0,list,67,parameters,0"
返回上一个选项,"Map258.json,events,67,pages,0,list,70,parameters,1"
关于ED的分岐,"Map258.json,events,67,pages,0,list,74,parameters,1"
根据清彦的状态决定逃脱的方式。,"Map258.json,events,67,pages,0,list,76,parameters,0"
有多种情况，请加油。,"Map258.json,events,67,pages,0,list,77,parameters,0"
另外，如果只是填满ED，可以查看『img/Debug』,"Map258.json,events,67,pages,0,list,78,parameters,0"
可以知道调试物品的位置，请参考。,"Map258.json,events,67,pages,0,list,79,parameters,0"
停止观察,"Map258.json,events,67,pages,0,list,81,parameters,1"
保持原样,"Map258.json,events,67,pages,0,list,88,parameters,1"
魅魔,"Map258.json,events,68,pages,0,list,1,parameters,0"
「这个剧情的进入方法很特殊哦。,"Map258.json,events,68,pages,0,list,2,parameters,0"
游戏中有提示，要听答案吗？」,"Map258.json,events,68,pages,0,list,3,parameters,0"
请告诉我提示,"Map258.json,events,68,pages,0,list,4,parameters,0,0"
请告诉我答案,"Map258.json,events,68,pages,0,list,4,parameters,0,1"
保持原样,"Map258.json,events,68,pages,0,list,4,parameters,0,2"
请告诉我提示,"Map258.json,events,68,pages,0,list,5,parameters,1"
魅魔,"Map258.json,events,68,pages,0,list,7,parameters,0"
「在城市的某个地方有提示。,"Map258.json,events,68,pages,0,list,8,parameters,0"
只说是书」,"Map258.json,events,68,pages,0,list,9,parameters,0"
请告诉我答案,"Map258.json,events,68,pages,0,list,11,parameters,1"
魅魔,"Map258.json,events,68,pages,0,list,14,parameters,0"
「调查场景中央就好。,"Map258.json,events,68,pages,0,list,15,parameters,0"
加油」,"Map258.json,events,68,pages,0,list,16,parameters,0"
保持原样,"Map258.json,events,68,pages,0,list,19,parameters,1"
少女,"Map258.json,events,69,name"
可以知道调试命令的位置。,"Map258.json,events,69,pages,0,list,1,parameters,0"
请注意各种剧情的剧透。,"Map258.json,events,69,pages,0,list,2,parameters,0"
使用这些后产生的错误不予补偿。,"Map258.json,events,69,pages,0,list,3,parameters,0"
（『img/Debug』文件夹的内容和意义几乎相同）,"Map258.json,events,69,pages,0,list,4,parameters,0"
想知道,"Map258.json,events,69,pages,0,list,6,parameters,0,0"
保持原样,"Map258.json,events,69,pages,0,list,6,parameters,0,1"
想知道,"Map258.json,events,69,pages,0,list,7,parameters,1"
查看城镇的调试,"Map258.json,events,69,pages,0,list,9,parameters,0,0"
查看吸血姬篇的调试,"Map258.json,events,69,pages,0,list,9,parameters,0,1"
查看树精篇的调试,"Map258.json,events,69,pages,0,list,9,parameters,0,2"
查看妖狐篇的调试,"Map258.json,events,69,pages,0,list,9,parameters,0,3"
查看下一个,"Map258.json,events,69,pages,0,list,9,parameters,0,4"
保持原样,"Map258.json,events,69,pages,0,list,9,parameters,0,5"
查看城镇的调试,"Map258.json,events,69,pages,0,list,10,parameters,1"
使用此调试命令，,"Map258.json,events,69,pages,0,list,13,parameters,0"
主要是在以魔物娘状态返回城镇后,"Map258.json,events,69,pages,0,list,14,parameters,0"
享受事件。,"Map258.json,events,69,pages,0,list,15,parameters,0"
查看吸血姬篇的调试,"Map258.json,events,69,pages,0,list,18,parameters,1"
初始房间的命令,"Map258.json,events,69,pages,0,list,19,parameters,0,0"
大厅的命令,"Map258.json,events,69,pages,0,list,19,parameters,0,1"
左边房间的命令,"Map258.json,events,69,pages,0,list,19,parameters,0,2"
中央房间的命令,"Map258.json,events,69,pages,0,list,19,parameters,0,3"
返回上一个选项,"Map258.json,events,69,pages,0,list,19,parameters,0,4"
初始房间的命令,"Map258.json,events,69,pages,0,list,20,parameters,1"
关于吸血姬篇的调试命令的共同事项,"Map258.json,events,69,pages,0,list,23,parameters,0"
当超过110％时，部分事件的行为会变得奇怪。,"Map258.json,events,69,pages,0,list,24,parameters,0"
因此，请注意在攻略时使用此命令。,"Map258.json,events,69,pages,0,list,25,parameters,0"
大厅的命令,"Map258.json,events,69,pages,0,list,28,parameters,1"
关于吸血姬篇的调试命令的共同事项,"Map258.json,events,69,pages,0,list,31,parameters,0"
当超过110％时，部分事件的行为会变得奇怪。,"Map258.json,events,69,pages,0,list,32,parameters,0"
因此，请注意在攻略时使用此命令。,"Map258.json,events,69,pages,0,list,33,parameters,0"
左边房间的命令,"Map258.json,events,69,pages,0,list,36,parameters,1"
关于吸血姬篇的调试命令的共同事项,"Map258.json,events,69,pages,0,list,39,parameters,0"
当超过110％时，部分事件的行为会变得奇怪。,"Map258.json,events,69,pages,0,list,40,parameters,0"
因此，请注意在攻略时使用此命令。,"Map258.json,events,69,pages,0,list,41,parameters,0"
中央房间的命令,"Map258.json,events,69,pages,0,list,44,parameters,1"
关于吸血姬篇的调试命令的共同事项,"Map258.json,events,69,pages,0,list,47,parameters,0"
当超过110％时，部分事件的行为会变得奇怪。,"Map258.json,events,69,pages,0,list,48,parameters,0"
因此，请注意在攻略时使用此命令。,"Map258.json,events,69,pages,0,list,49,parameters,0"
返回上一个选项,"Map258.json,events,69,pages,0,list,52,parameters,1"
查看树精篇的调试,"Map258.json,events,69,pages,0,list,56,parameters,1"
关于MP全回复命令,"Map258.json,events,69,pages,0,list,57,parameters,0,0"
关于返回入口命令,"Map258.json,events,69,pages,0,list,57,parameters,0,1"
返回上一个选项,"Map258.json,events,69,pages,0,list,57,parameters,0,2"
关于MP全回复命令,"Map258.json,events,69,pages,0,list,58,parameters,1"
使用此命令，可以无限释放魔法！,"Map258.json,events,69,pages,0,list,61,parameters,0"
甚至可以击败森林里的所有树精。,"Map258.json,events,69,pages,0,list,62,parameters,0"
关于返回入口命令,"Map258.json,events,69,pages,0,list,65,parameters,1"
可以返回入口前。,"Map258.json,events,69,pages,0,list,68,parameters,0"
但是，请注意在移动后，树精,"Map258.json,events,69,pages,0,list,69,parameters,0"
可能会注意到我们，所以请小心。,"Map258.json,events,69,pages,0,list,70,parameters,0"
返回上一个选项,"Map258.json,events,69,pages,0,list,73,parameters,1"
查看妖狐篇的调试,"Map258.json,events,69,pages,0,list,77,parameters,1"
左边是除草剂和弱点知识的标志。,"Map258.json,events,69,pages,0,list,80,parameters,0"
右边可以调整当前状态。,"Map258.json,events,69,pages,0,list,81,parameters,0"
此外，除草剂也可以在这里获得。,"Map258.json,events,69,pages,0,list,85,parameters,0"
查看下一个,"Map258.json,events,69,pages,0,list,88,parameters,1"
查看淫魔篇的调试,"Map258.json,events,69,pages,0,list,89,parameters,0,0"
查看水晶获取的调试,"Map258.json,events,69,pages,0,list,89,parameters,0,1"
查看猫娘篇的调试,"Map258.json,events,69,pages,0,list,89,parameters,0,2"
查看哈比篇的调试,"Map258.json,events,69,pages,0,list,89,parameters,0,3"
查看全ED解锁的调试,"Map258.json,events,69,pages,0,list,89,parameters,0,4"
停止观察,"Map258.json,events,69,pages,0,list,89,parameters,0,5"
查看淫魔篇的调试,"Map258.json,events,69,pages,0,list,90,parameters,1"
成人淫魔区域的命令,"Map258.json,events,69,pages,0,list,91,parameters,0,0"
子供淫魔区域的命令,"Map258.json,events,69,pages,0,list,91,parameters,0,1"
停止观察,"Map258.json,events,69,pages,0,list,91,parameters,0,2"
成人淫魔区域的命令,"Map258.json,events,69,pages,0,list,92,parameters,1"
使用此命令，当变为淫魔时,"Map258.json,events,69,pages,0,list,95,parameters,0"
敌人的视野可能仍然存在，,"Map258.json,events,69,pages,0,list,96,parameters,0"
但重新进入地图即可修复。,"Map258.json,events,69,pages,0,list,97,parameters,0"
子供淫魔区域的命令,"Map258.json,events,69,pages,0,list,100,parameters,1"
使用此命令，当变为雌孩时,"Map258.json,events,69,pages,0,list,103,parameters,0"
敌人的视野可能仍然存在，,"Map258.json,events,69,pages,0,list,104,parameters,0"
但重新进入地图即可修复。,"Map258.json,events,69,pages,0,list,105,parameters,0"
停止观察,"Map258.json,events,69,pages,0,list,108,parameters,1"
查看水晶获取的调试,"Map258.json,events,69,pages,0,list,112,parameters,1"
检查『○』可以获得水晶球。,"Map258.json,events,69,pages,0,list,115,parameters,0"
一旦获得，只能进入猫娘篇或人鱼篇,"Map258.json,events,69,pages,0,list,116,parameters,0"
请注意。,"Map258.json,events,69,pages,0,list,117,parameters,0"
查看猫娘篇的调试,"Map258.json,events,69,pages,0,list,120,parameters,1"
检查『○』可以获得完成所需的物品和标志。,"Map258.json,events,69,pages,0,list,123,parameters,0"
查看哈比篇的调试,"Map258.json,events,69,pages,0,list,126,parameters,1"
检查『○』可以获得,"Map258.json,events,69,pages,0,list,129,parameters,0"
可以传送到入口的物品。,"Map258.json,events,69,pages,0,list,130,parameters,0"
查看全ED解锁的调试,"Map258.json,events,69,pages,0,list,133,parameters,1"
检查『○』可以,"Map258.json,events,69,pages,0,list,136,parameters,0"
一次性解锁所有ED。,"Map258.json,events,69,pages,0,list,137,parameters,0"
停止观察,"Map258.json,events,69,pages,0,list,140,parameters,1"
保持原样,"Map258.json,events,69,pages,0,list,144,parameters,1"
保持原样,"Map258.json,events,69,pages,0,list,151,parameters,1"
猫,"Map258.json,events,71,name"
要查看猫娘篇的逃脱攻略信息吗？,"Map258.json,events,71,pages,0,list,1,parameters,0"
是,"Map258.json,events,71,pages,0,list,2,parameters,0,0"
否,"Map258.json,events,71,pages,0,list,2,parameters,0,1"
是,"Map258.json,events,71,pages,0,list,3,parameters,1"
需要在第二天使守卫失去能力并逃脱。,"Map258.json,events,71,pages,0,list,5,parameters,0"
获取『粘液』和『发情对策药』两样物品。,"Map258.json,events,71,pages,0,list,6,parameters,0"
液体不包含在物品栏中。,"Map258.json,events,71,pages,0,list,7,parameters,0"
・获取『发情对策药』的方法,"Map258.json,events,71,pages,0,list,10,parameters,0"
\C[18]检查右边\C[0]的『○』的柜子。,"Map258.json,events,71,pages,0,list,11,parameters,0"
第一天和第二天都可以获取。,"Map258.json,events,71,pages,0,list,12,parameters,0"
・制作『粘液』的方法,"Map258.json,events,71,pages,0,list,14,parameters,0"
在第二天检查\C[18]左边\C[0]的『○』的柜子,"Map258.json,events,71,pages,0,list,15,parameters,0"
获取『磨损的植物』。,"Map258.json,events,71,pages,0,list,16,parameters,0"
然后检查图中的『○』部分，准备完成。,"Map258.json,events,71,pages,0,list,19,parameters,0"
对付第二天的守卫，只需投掷液体,"Map258.json,events,71,pages,0,list,20,parameters,0"
并喝下发情对策药即可完成。,"Map258.json,events,71,pages,0,list,21,parameters,0"
否,"Map258.json,events,71,pages,0,list,25,parameters,1"
要移动到插图回忆室吗？,"Map258.json,events,72,pages,0,list,1,parameters,0"
（由于部分角色精灵的剧透,"Map258.json,events,72,pages,0,list,2,parameters,0"
请注意。）,"Map258.json,events,72,pages,0,list,3,parameters,0"
是,"Map258.json,events,72,pages,0,list,4,parameters,0,0"
否,"Map258.json,events,72,pages,0,list,4,parameters,0,1"
是,"Map258.json,events,72,pages,0,list,5,parameters,1"
否,"Map258.json,events,72,pages,0,list,9,parameters,1"
回忆室,"Map258.json,events,73,name"
恭喜解锁所有ED！,"Map258.json,events,73,pages,0,list,1,parameters,0"
要进入额外的额外房间吗？,"Map258.json,events,73,pages,0,list,2,parameters,0"
是,"Map258.json,events,73,pages,0,list,3,parameters,0,0"
否,"Map258.json,events,73,pages,0,list,3,parameters,0,1"
是,"Map258.json,events,73,pages,0,list,4,parameters,1"
否,"Map258.json,events,73,pages,0,list,9,parameters,1"
